,city,object,type,geometry,lat,lon
138,Москва,amenity,cafe,POINT (37.6220999 55.8757288),55.8757288,37.6220999
139,Москва,amenity,cafe,POINT (37.4445068 55.8495072),55.8495072,37.4445068
140,Москва,amenity,cafe,POINT (37.6615003 55.8651596),55.8651596,37.6615003
141,Москва,amenity,cafe,POINT (37.7879106 55.7932241),55.7932241,37.7879106
142,Москва,amenity,cafe,POINT (37.5624248 55.7246075),55.7246075,37.5624248
143,Москва,amenity,cafe,POINT (37.7115551 55.6444778),55.6444778,37.7115551
144,Москва,amenity,cafe,POINT (37.6116567 55.7305611),55.7305611,37.6116567
145,Москва,amenity,cafe,POINT (37.6129023 55.7990827),55.7990827,37.6129023
146,Москва,amenity,cafe,POINT (37.6206341 55.6536211),55.6536211,37.6206341
147,Москва,amenity,cafe,POINT (37.620604 55.6539117),55.6539117,37.620604
148,Москва,amenity,cafe,POINT (37.6205751 55.6536925),55.6536925,37.6205751
149,Москва,amenity,cafe,POINT (37.7238214 55.6474769),55.6474769,37.7238214
150,Москва,amenity,cafe,POINT (37.7233698 55.6474613),55.6474613,37.7233698
151,Москва,amenity,cafe,POINT (37.4737842 55.7843102),55.7843102,37.4737842
152,Москва,amenity,cafe,POINT (37.4561101 55.7847828),55.7847828,37.4561101
153,Москва,amenity,cafe,POINT (37.4923304 55.7938566),55.7938566,37.4923304
154,Москва,amenity,cafe,POINT (37.4948471 55.7947761),55.7947761,37.4948471
155,Москва,amenity,cafe,POINT (37.6624197 55.7544485),55.7544485,37.6624197
156,Москва,amenity,cafe,POINT (37.6786196 55.77306),55.77306,37.6786196
157,Москва,amenity,cafe,POINT (37.5085339 55.6519495),55.6519495,37.5085339
158,Москва,amenity,cafe,POINT (37.6069219 55.7629899),55.7629899,37.6069219
159,Москва,amenity,cafe,POINT (37.6089272 55.6241352),55.6241352,37.6089272
160,Москва,amenity,cafe,POINT (37.507018 55.7112592),55.7112592,37.507018
161,Москва,amenity,cafe,POINT (37.3557624 55.9405437),55.9405437,37.3557624
162,Москва,amenity,cafe,POINT (37.6470552 55.7260802),55.7260802,37.6470552
163,Москва,amenity,cafe,POINT (37.3651067 55.9393665),55.9393665,37.3651067
164,Москва,amenity,cafe,POINT (37.6609498 55.738663),55.738663,37.6609498
165,Москва,amenity,cafe,POINT (37.5844455 55.7743568),55.7743568,37.5844455
166,Москва,amenity,cafe,POINT (37.5275538 55.6922365),55.6922365,37.5275538
167,Москва,amenity,cafe,POINT (37.7333404 55.8141313),55.8141313,37.7333404
168,Москва,amenity,cafe,POINT (37.5426065 55.7218771),55.7218771,37.5426065
169,Москва,amenity,cafe,POINT (37.7089356 55.7822827),55.7822827,37.7089356
170,Москва,amenity,cafe,POINT (37.385912 55.6511382),55.6511382,37.385912
171,Москва,amenity,cafe,POINT (37.5542228 55.5491422),55.5491422,37.5542228
172,Москва,amenity,cafe,POINT (37.5735795 55.777877),55.777877,37.5735795
173,Москва,amenity,cafe,POINT (37.3903134 55.7941067),55.7941067,37.3903134
174,Москва,amenity,cafe,POINT (37.6055095 55.884788),55.884788,37.6055095
175,Москва,amenity,cafe,POINT (37.5988331 55.7520464),55.7520464,37.5988331
176,Москва,amenity,cafe,POINT (37.5265314 55.6439048),55.6439048,37.5265314
177,Москва,amenity,cafe,POINT (37.6003315 55.8814294),55.8814294,37.6003315
178,Москва,amenity,cafe,POINT (37.604761 55.8829319),55.8829319,37.604761
179,Москва,amenity,cafe,POINT (37.6470964 55.8398717),55.8398717,37.6470964
180,Москва,amenity,cafe,POINT (37.843364 55.6835),55.6835,37.843364
181,Москва,amenity,cafe,POINT (37.6074354 55.8628914),55.8628914,37.6074354
182,Москва,amenity,cafe,POINT (37.6014703 55.8631382),55.8631382,37.6014703
183,Москва,amenity,cafe,POINT (37.5883842 55.8882979),55.8882979,37.5883842
184,Москва,amenity,cafe,POINT (37.63042 55.7395497),55.7395497,37.63042
185,Москва,amenity,cafe,POINT (37.4413693 55.8517478),55.8517478,37.4413693
186,Москва,amenity,cafe,POINT (37.4420206 55.8518386),55.8518386,37.4420206
187,Москва,amenity,cafe,POINT (37.4462085 55.852268),55.852268,37.4462085
188,Москва,amenity,cafe,POINT (37.5422896 55.8971527),55.8971527,37.5422896
189,Москва,amenity,cafe,POINT (37.8219042 55.7659488),55.7659488,37.8219042
190,Москва,amenity,cafe,POINT (37.4220093 55.8505364),55.8505364,37.4220093
191,Москва,amenity,cafe,POINT (37.4309285 55.8507117),55.8507117,37.4309285
192,Москва,amenity,cafe,POINT (37.6300845 55.7430993),55.7430993,37.6300845
193,Москва,amenity,cafe,POINT (37.6325627 55.7717446),55.7717446,37.6325627
194,Москва,amenity,cafe,POINT (37.7233386 55.819211),55.819211,37.7233386
195,Москва,amenity,cafe,POINT (37.6192177 55.8481546),55.8481546,37.6192177
196,Москва,amenity,cafe,POINT (37.6074492 55.8531546),55.8531546,37.6074492
197,Москва,amenity,cafe,POINT (37.4965635 55.7680837),55.7680837,37.4965635
198,Москва,amenity,cafe,POINT (37.5911035 55.7657175),55.7657175,37.5911035
199,Москва,amenity,cafe,POINT (37.4724303 55.6744032),55.6744032,37.4724303
200,Москва,amenity,cafe,POINT (37.476493 55.8106977),55.8106977,37.476493
201,Москва,amenity,cafe,POINT (37.4068941 55.8389027),55.8389027,37.4068941
202,Москва,amenity,cafe,POINT (37.4236813 55.8484472),55.8484472,37.4236813
203,Москва,amenity,cafe,POINT (37.6381093 55.8044744),55.8044744,37.6381093
204,Москва,amenity,cafe,POINT (37.5880548 55.8884529),55.8884529,37.5880548
205,Москва,amenity,cafe,POINT (37.5988304 55.7517713),55.7517713,37.5988304
206,Москва,amenity,cafe,POINT (37.5936839 55.7499909),55.7499909,37.5936839
207,Москва,amenity,cafe,POINT (37.6241951 55.683789),55.683789,37.6241951
208,Москва,amenity,cafe,POINT (37.6918941 55.7044378),55.7044378,37.6918941
209,Москва,amenity,cafe,POINT (37.5873204 55.7780118),55.7780118,37.5873204
210,Москва,amenity,cafe,POINT (37.7677366 55.8100984),55.8100984,37.7677366
211,Москва,amenity,cafe,POINT (37.560827 55.6458704),55.6458704,37.560827
212,Москва,amenity,cafe,POINT (37.6272489 55.7452044),55.7452044,37.6272489
213,Москва,amenity,cafe,POINT (37.6150464 55.8935086),55.8935086,37.6150464
214,Москва,amenity,cafe,POINT (37.8013732 55.8058333),55.8058333,37.8013732
215,Москва,amenity,cafe,POINT (37.6194176 55.8909651),55.8909651,37.6194176
216,Москва,amenity,cafe,POINT (37.5803026 55.5699835),55.5699835,37.5803026
217,Москва,amenity,cafe,POINT (37.4333553 55.8494084),55.8494084,37.4333553
218,Москва,amenity,cafe,POINT (37.6824654 55.5836221),55.5836221,37.6824654
219,Москва,amenity,cafe,POINT (37.5753712 55.8000834),55.8000834,37.5753712
220,Москва,amenity,cafe,POINT (37.6365614 55.801293),55.801293,37.6365614
221,Москва,amenity,cafe,POINT (37.6801159 55.7910936),55.7910936,37.6801159
222,Москва,amenity,cafe,POINT (37.6597671 55.8592896),55.8592896,37.6597671
223,Москва,amenity,cafe,POINT (37.6591052 55.8598625),55.8598625,37.6591052
224,Москва,amenity,cafe,POINT (37.6218261 55.7009182),55.7009182,37.6218261
225,Москва,amenity,cafe,POINT (37.5425108 55.9101521),55.9101521,37.5425108
226,Москва,amenity,cafe,POINT (37.5831294 55.8569981),55.8569981,37.5831294
227,Москва,amenity,cafe,POINT (37.6029974 55.8605851),55.8605851,37.6029974
228,Москва,amenity,cafe,POINT (37.6109085 55.7446648),55.7446648,37.6109085
229,Москва,amenity,cafe,POINT (37.5518362 55.6668776),55.6668776,37.5518362
230,Москва,amenity,cafe,POINT (37.6256623 55.6970753),55.6970753,37.6256623
231,Москва,amenity,cafe,POINT (37.6080726 55.7805622),55.7805622,37.6080726
232,Москва,amenity,cafe,POINT (37.7061251 55.7854655),55.7854655,37.7061251
233,Москва,amenity,cafe,POINT (37.5925621 55.7230595),55.7230595,37.5925621
234,Москва,amenity,cafe,POINT (37.6406928 55.6800509),55.6800509,37.6406928
235,Москва,amenity,cafe,POINT (37.6489648 55.7718112),55.7718112,37.6489648
236,Москва,amenity,cafe,POINT (37.6488127 55.7717541),55.7717541,37.6488127
237,Москва,amenity,cafe,POINT (37.6383978 55.7804433),55.7804433,37.6383978
238,Москва,amenity,cafe,POINT (37.5618782 55.7226569),55.7226569,37.5618782
239,Москва,amenity,cafe,POINT (37.6553654 55.7697611),55.7697611,37.6553654
240,Москва,amenity,cafe,POINT (37.5424666 55.54796),55.54796,37.5424666
241,Москва,amenity,cafe,POINT (37.6065902 55.7673796),55.7673796,37.6065902
242,Москва,amenity,cafe,POINT (37.6036411 55.7663808),55.7663808,37.6036411
243,Москва,amenity,cafe,POINT (37.6278224 55.772544),55.772544,37.6278224
244,Москва,amenity,cafe,POINT (37.7086401 55.7889772),55.7889772,37.7086401
245,Москва,amenity,cafe,POINT (37.6261392 55.7120797),55.7120797,37.6261392
246,Москва,amenity,cafe,POINT (37.4999666 55.7896498),55.7896498,37.4999666
247,Москва,amenity,cafe,POINT (37.5297277 55.5342247),55.5342247,37.5297277
248,Москва,amenity,cafe,POINT (37.59735 55.887745),55.887745,37.59735
249,Москва,amenity,cafe,POINT (37.5214575 55.7061596),55.7061596,37.5214575
250,Москва,amenity,cafe,POINT (37.6242546 55.6301938),55.6301938,37.6242546
251,Москва,amenity,cafe,POINT (37.6376958 55.8165449),55.8165449,37.6376958
252,Москва,amenity,cafe,POINT (37.5398906 55.9088765),55.9088765,37.5398906
253,Москва,amenity,cafe,POINT (37.6226498 55.7293121),55.7293121,37.6226498
254,Москва,amenity,cafe,POINT (37.660971 55.7848231),55.7848231,37.660971
255,Москва,amenity,cafe,POINT (37.6272716 55.8126774),55.8126774,37.6272716
256,Москва,amenity,cafe,POINT (37.6797727 55.7625311),55.7625311,37.6797727
257,Москва,amenity,cafe,POINT (37.5195059 55.6762018),55.6762018,37.5195059
258,Москва,amenity,cafe,POINT (37.5839068 55.7944736),55.7944736,37.5839068
259,Москва,amenity,cafe,POINT (37.5616329 55.744112),55.744112,37.5616329
260,Москва,amenity,cafe,POINT (37.6936064 55.7275758),55.7275758,37.6936064
261,Москва,amenity,cafe,POINT (37.4467098 55.8352637),55.8352637,37.4467098
262,Москва,amenity,cafe,POINT (37.8457898 55.6986836),55.6986836,37.8457898
263,Москва,amenity,cafe,POINT (37.6128781 55.8946782),55.8946782,37.6128781
264,Москва,amenity,cafe,POINT (37.6322476 55.771521),55.771521,37.6322476
265,Москва,amenity,cafe,POINT (37.8388951 55.7674395),55.7674395,37.8388951
266,Москва,amenity,cafe,POINT (37.8348235 55.7820307),55.7820307,37.8348235
267,Москва,amenity,cafe,POINT (37.7814529 55.8009586),55.8009586,37.7814529
268,Москва,amenity,cafe,POINT (37.592714 55.7887007),55.7887007,37.592714
269,Москва,amenity,cafe,POINT (37.7985971 55.8002716),55.8002716,37.7985971
270,Москва,amenity,cafe,POINT (37.6359136 55.7634787),55.7634787,37.6359136
271,Москва,amenity,cafe,POINT (37.6341871 55.7617805),55.7617805,37.6341871
272,Москва,amenity,cafe,POINT (37.5085108 55.644078),55.644078,37.5085108
273,Москва,amenity,cafe,POINT (37.6605306 55.6825001),55.6825001,37.6605306
274,Москва,amenity,cafe,POINT (37.5809784 55.798376),55.798376,37.5809784
275,Москва,amenity,cafe,POINT (37.7084491 55.7920128),55.7920128,37.7084491
276,Москва,amenity,cafe,POINT (37.6687105 55.7689427),55.7689427,37.6687105
277,Москва,amenity,cafe,POINT (37.7897106 55.790153),55.790153,37.7897106
278,Москва,amenity,cafe,POINT (37.6667934 55.7795397),55.7795397,37.6667934
279,Москва,amenity,cafe,POINT (37.6793515 55.7682737),55.7682737,37.6793515
280,Москва,amenity,cafe,POINT (37.7838962 55.7400885),55.7400885,37.7838962
281,Москва,amenity,cafe,POINT (37.5090825 55.7412594),55.7412594,37.5090825
282,Москва,amenity,cafe,POINT (37.6035518 55.7525371),55.7525371,37.6035518
283,Москва,amenity,cafe,POINT (37.6450227 55.7286119),55.7286119,37.6450227
284,Москва,amenity,cafe,POINT (37.8064447 55.8109425),55.8109425,37.8064447
285,Москва,amenity,cafe,POINT (37.5184779 55.7000972),55.7000972,37.5184779
286,Москва,amenity,cafe,POINT (37.7085667 55.7955578),55.7955578,37.7085667
287,Москва,amenity,cafe,POINT (37.5843231 55.805648),55.805648,37.5843231
288,Москва,amenity,cafe,POINT (37.5236666 55.6983893),55.6983893,37.5236666
289,Москва,amenity,cafe,POINT (37.7339971 55.7833891),55.7833891,37.7339971
290,Москва,amenity,cafe,POINT (37.5838337 55.7482253),55.7482253,37.5838337
291,Москва,amenity,cafe,POINT (37.5090412 55.8099943),55.8099943,37.5090412
292,Москва,amenity,cafe,POINT (37.7486205 55.7909318),55.7909318,37.7486205
293,Москва,amenity,cafe,POINT (37.4974241 55.8221332),55.8221332,37.4974241
294,Москва,amenity,cafe,POINT (37.7352912 55.7864521),55.7864521,37.7352912
295,Москва,amenity,cafe,POINT (37.7061923 55.7452425),55.7452425,37.7061923
296,Москва,amenity,cafe,POINT (37.533403 55.6939855),55.6939855,37.533403
297,Москва,amenity,cafe,POINT (37.4854146 55.7733053),55.7733053,37.4854146
298,Москва,amenity,cafe,POINT (37.599163 55.7964748),55.7964748,37.599163
299,Москва,amenity,cafe,POINT (37.6001505 55.7961005),55.7961005,37.6001505
300,Москва,amenity,cafe,POINT (37.5026595 55.7426745),55.7426745,37.5026595
301,Москва,amenity,cafe,POINT (37.4456867 55.8265104),55.8265104,37.4456867
302,Москва,amenity,cafe,POINT (37.6822139 55.6184757),55.6184757,37.6822139
303,Москва,amenity,cafe,POINT (37.6327473 55.715402),55.715402,37.6327473
304,Москва,amenity,cafe,POINT (37.5870084 55.7356765),55.7356765,37.5870084
305,Москва,amenity,cafe,POINT (37.5790542 55.7939405),55.7939405,37.5790542
306,Москва,amenity,cafe,POINT (37.8220026 55.7202169),55.7202169,37.8220026
307,Москва,amenity,cafe,POINT (37.8076166 55.7932041),55.7932041,37.8076166
308,Москва,amenity,cafe,POINT (37.6626044 55.8880917),55.8880917,37.6626044
309,Москва,amenity,cafe,POINT (37.6574175 55.8862619),55.8862619,37.6574175
310,Москва,amenity,cafe,POINT (37.5065686 55.8103468),55.8103468,37.5065686
311,Москва,amenity,cafe,POINT (37.632799 55.7668802),55.7668802,37.632799
312,Москва,amenity,cafe,POINT (37.657171 55.7596876),55.7596876,37.657171
313,Москва,amenity,cafe,POINT (37.6005056 55.7787524),55.7787524,37.6005056
314,Москва,amenity,cafe,POINT (37.6206762 55.7708113),55.7708113,37.6206762
315,Москва,amenity,cafe,POINT (37.6207717 55.7729914),55.7729914,37.6207717
316,Москва,amenity,cafe,POINT (37.6449293 55.7287901),55.7287901,37.6449293
317,Москва,amenity,cafe,POINT (37.7920326 55.8023549),55.8023549,37.7920326
318,Москва,amenity,cafe,POINT (37.6627423 55.5831193),55.5831193,37.6627423
319,Москва,amenity,cafe,POINT (37.6070846 55.7631772),55.7631772,37.6070846
320,Москва,amenity,cafe,POINT (37.6112873 55.7603649),55.7603649,37.6112873
321,Москва,amenity,cafe,POINT (37.6459064 55.8045534),55.8045534,37.6459064
322,Москва,amenity,cafe,POINT (37.6480841 55.8038718),55.8038718,37.6480841
323,Москва,amenity,cafe,POINT (37.4153865 55.7124036),55.7124036,37.4153865
324,Москва,amenity,cafe,POINT (37.6225869 55.7721178),55.7721178,37.6225869
325,Москва,amenity,cafe,POINT (37.7605382 55.662844),55.662844,37.7605382
326,Москва,amenity,cafe,POINT (37.7395668 55.6548062),55.6548062,37.7395668
327,Москва,amenity,cafe,POINT (37.6316147 55.8031929),55.8031929,37.6316147
328,Москва,amenity,cafe,POINT (37.6479801 55.7599555),55.7599555,37.6479801
329,Москва,amenity,cafe,POINT (37.6373394 55.7536975),55.7536975,37.6373394
330,Москва,amenity,cafe,POINT (37.819518 55.7523348),55.7523348,37.819518
331,Москва,amenity,cafe,POINT (37.642506 55.7621117),55.7621117,37.642506
332,Москва,amenity,cafe,POINT (37.6448871 55.769613),55.769613,37.6448871
333,Москва,amenity,cafe,POINT (37.6553057 55.7081479),55.7081479,37.6553057
334,Москва,amenity,cafe,POINT (37.2957966 55.8025564),55.8025564,37.2957966
