,station_name,station_lat,station_lng,line_id,line_name,station_id,station_order
0,Проспект Космонавтов,56.900393,60.613878,48,Север-Юг,48.261,0
1,Уралмаш,56.887674,60.614165,48,Север-Юг,48.262,1
2,Машиностроителей,56.878517,60.61218,48,Север-Юг,48.263,2
3,Уральская,56.858056,60.600816,48,Север-Юг,48.264,3
4,Динамо,56.847818,60.599406,48,Север-Юг,48.265,4
5,Площадь 1905 года,56.837982,60.59734,48,Север-Юг,48.266,5
6,Геологическая,56.826715,60.603754,48,Север-Юг,48.267,6
7,Чкаловская,56.808502,60.610698,48,Север-Юг,48.269,8
8,Ботаническая,56.797487,60.633362,48,Север-Юг,48.27,9
